ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id
Nico La Pizza,fast_food,pizza;italian,,,,,,,,39.9078902,32.8612227,"https://www.google.com/maps/search/?api=1&query=39.9078902,32.8612227",node/12759651880
Nil Bar,bar,,,,,,,,,39.9174474,32.8575420,"https://www.google.com/maps/search/?api=1&query=39.9174474,32.8575420",node/5906412486
Niyokki Armada,restaurant,italian,,https://niyokki.com.tr/,,,yes,yes,Yaşam Caddesi,39.9130099,32.8083383,"https://www.google.com/maps/search/?api=1&query=39.9130099,32.8083383",node/9260333137
Noise,bar,,,,,,,,,39.9245236,32.8246440,"https://www.google.com/maps/search/?api=1&query=39.9245236,32.8246440",node/3681895506
Noma,restaurant,,,,,,,,,39.9288091,32.8260974,"https://www.google.com/maps/search/?api=1&query=39.9288091,32.8260974",node/309903648
Noxus,bar,,,,,,,,,39.9164369,32.8578999,"https://www.google.com/maps/search/?api=1&query=39.9164369,32.8578999",node/4619051190
NRY,pub,,,,,,yes,,Sedat Simavi Caddesi,39.8827322,32.8561888,"https://www.google.com/maps/search/?api=1&query=39.8827322,32.8561888",node/10152567642
Nusr-Et Steakhouse Ankara,restaurant,steak_house,,https://www.nusr-et.com.tr/tr/ana-sayfa.aspx,,,,,,39.8993782,32.8649856,"https://www.google.com/maps/search/?api=1&query=39.8993782,32.8649856",way/745785433
NY Choppers,fast_food,sandwich,+90 312 427 27 06,,https://www.instagram.com/ny.choppers,24/7,,,Güvenlik Caddesi 70A,39.8978810,32.8534757,"https://www.google.com/maps/search/?api=1&query=39.8978810,32.8534757",node/13998666089
ODTÜ Central,restaurant,,,,,,,,,39.8926900,32.7881873,"https://www.google.com/maps/search/?api=1&query=39.8926900,32.7881873",node/10214597191
Olgunlar Simitçisi,cafe,,,,,,,,,39.9149485,32.8579234,"https://www.google.com/maps/search/?api=1&query=39.9149485,32.8579234",node/9321226802
Oranlı Börek Tatlı,restaurant,,,,,,,,,39.9248961,32.8477930,"https://www.google.com/maps/search/?api=1&query=39.9248961,32.8477930",node/4070499700
Oranlı Cafe,cafe,sandwich,,,,,yes,,,39.9315748,32.8757719,"https://www.google.com/maps/search/?api=1&query=39.9315748,32.8757719",node/6321623142
Orta Dünya,bar,,,,,Mo-Su 10:00-24:00,,,,39.9180489,32.8585634,"https://www.google.com/maps/search/?api=1&query=39.9180489,32.8585634",node/6908297128
Osman Yazıcı Konukevi Kantini,cafe,,,,,,,wlan,,39.8883122,32.7915334,"https://www.google.com/maps/search/?api=1&query=39.8883122,32.7915334",node/13057959108
Otau Orta Asya Mutfağı,restaurant,,,,,,,,,39.9184796,32.8627373,"https://www.google.com/maps/search/?api=1&query=39.9184796,32.8627373",node/9315159165
OTTO Lounge,restaurant,,+90 312 473 55 51,,,,,,,39.9020556,32.8101640,"https://www.google.com/maps/search/?api=1&query=39.9020556,32.8101640",node/9669713419
Ova Piknik,restaurant,,+90 312 448 27 97,,,,,,,39.8996326,32.8750656,"https://www.google.com/maps/search/?api=1&query=39.8996326,32.8750656",way/228185913
Oze Roasting,cafe,,,,,Mo-Su 10:00-22:00,,wlan,Farabi Sokağı 9,39.8962746,32.8603894,"https://www.google.com/maps/search/?api=1&query=39.8962746,32.8603894",node/13991871601
Padam Coffee Shop,cafe,,,,,,,,,39.9026958,32.8596101,"https://www.google.com/maps/search/?api=1&query=39.9026958,32.8596101",node/5492875922
Palais,cafe,,,,,,,,,39.9262002,32.8183060,"https://www.google.com/maps/search/?api=1&query=39.9262002,32.8183060",node/3889779713
Palet Pastanesi,cafe,,,,,,,,Filistin Sk.,39.8977550,32.8714630,"https://www.google.com/maps/search/?api=1&query=39.8977550,32.8714630",node/4081574896
Pangea Coffee House,cafe,,,,,,,,,39.8967018,32.8550453,"https://www.google.com/maps/search/?api=1&query=39.8967018,32.8550453",node/12923115224
Part II Coffee,cafe,,,,,,,,,39.9199018,32.8249765,"https://www.google.com/maps/search/?api=1&query=39.9199018,32.8249765",node/13752770101
pastane,cafe,,,,,,,,,39.9306624,32.8338152,"https://www.google.com/maps/search/?api=1&query=39.9306624,32.8338152",node/3889776521
Pastel,bar,,,,,,,,,39.8957079,32.7976125,"https://www.google.com/maps/search/?api=1&query=39.8957079,32.7976125",node/4343638039
Patisserie Coffee,cafe,,,,,,,,Kazakistan Caddesi 97A,39.9235707,32.8227224,"https://www.google.com/maps/search/?api=1&query=39.9235707,32.8227224",node/13803017903
Patlican Pide Pizza,restaurant,pizza;turkish,,,,,,,61. Cadde 36A,39.9234411,32.8241265,"https://www.google.com/maps/search/?api=1&query=39.9234411,32.8241265",node/13970244002
Peperoncino,restaurant,,,,,,,,,39.8935759,32.8769940,"https://www.google.com/maps/search/?api=1&query=39.8935759,32.8769940",node/122563664
Perla Coffee & Pasta,cafe,coffee_shop;pasta,,,,,,,Azerbaycan Caddesi,39.9225375,32.8285113,"https://www.google.com/maps/search/?api=1&query=39.9225375,32.8285113",node/13954013801
Pheru Coffee,cafe,coffee_shop,,,,,,,,39.9167734,32.8192591,"https://www.google.com/maps/search/?api=1&query=39.9167734,32.8192591",node/8621073867
Pide MAX,restaurant,turkish,+90 312 490 74 75,,,,,,,39.8645535,32.8593885,"https://www.google.com/maps/search/?api=1&query=39.8645535,32.8593885",node/4886017502
Pideci,restaurant,,,,,,,,,39.8838348,32.8173927,"https://www.google.com/maps/search/?api=1&query=39.8838348,32.8173927",node/13869362431
Pilita Pastaevi,cafe,,,,,,,,,39.9335667,32.8363931,"https://www.google.com/maps/search/?api=1&query=39.9335667,32.8363931",node/4140701544
Piyata,fast_food,,,,,,,,,39.8924341,32.7882762,"https://www.google.com/maps/search/?api=1&query=39.8924341,32.7882762",node/2677063020
Pizza Bulls,fast_food,,+90 312 318 34 34,,,,,,Veli Necdet Arığ Caddesi,39.9225285,32.8203459,"https://www.google.com/maps/search/?api=1&query=39.9225285,32.8203459",node/13990299103
Pizza House,fast_food,,,,,,,,,39.8713744,32.8595254,"https://www.google.com/maps/search/?api=1&query=39.8713744,32.8595254",node/4627366929
Pizza Il Forno,restaurant,,,,,,,,,39.8765690,32.8605285,"https://www.google.com/maps/search/?api=1&query=39.8765690,32.8605285",node/4624318156
Pizza Livorno,restaurant,pizza,,,,,,,,39.8827484,32.8192002,"https://www.google.com/maps/search/?api=1&query=39.8827484,32.8192002",node/13704468302
Pizzacı Altan,restaurant,pizza,,,,,,,,39.9092251,32.8612563,"https://www.google.com/maps/search/?api=1&query=39.9092251,32.8612563",node/1706185652
Pizzacı Sedat,restaurant,,,,,,,,,39.9197201,32.8300168,"https://www.google.com/maps/search/?api=1&query=39.9197201,32.8300168",node/13752793101
Pizzeria al Forno,restaurant,italian,,,,,,,,39.8886915,32.8105799,"https://www.google.com/maps/search/?api=1&query=39.8886915,32.8105799",node/9965172489
Popeyes,fast_food,,,,,,,,,39.8757889,32.8692564,"https://www.google.com/maps/search/?api=1&query=39.8757889,32.8692564",node/4663712043
Profesör,pub,,,,,,,,,39.9069730,32.8601449,"https://www.google.com/maps/search/?api=1&query=39.9069730,32.8601449",node/2266973954
Puask Chocolate,cafe,,,,,,,,67. Sokak,39.9198035,32.8253785,"https://www.google.com/maps/search/?api=1&query=39.9198035,32.8253785",node/13990321401
Pub Locale,restaurant,italian,,,,,,,,39.9073214,32.8586266,"https://www.google.com/maps/search/?api=1&query=39.9073214,32.8586266",node/13227753385
Puhu,pub,,,,,,,,,39.9068126,32.8602764,"https://www.google.com/maps/search/?api=1&query=39.9068126,32.8602764",node/4617561923
Pulp Fiction,bar,,,,,Mo-Su 11:00-01:00,,,Büklüm Sokağı,39.9103785,32.8595372,"https://www.google.com/maps/search/?api=1&query=39.9103785,32.8595372",node/8969322918
Quick China,restaurant,chinese,,https://www.quickchina.com.tr/,,,,,,39.8959322,32.8780299,"https://www.google.com/maps/search/?api=1&query=39.8959322,32.8780299",node/60582768
Quito Coffee,cafe,coffee_shop,+90 532 550 0061,https://www.instagram.com/quitocoffee/,,Mo-Su 08:00-23:00,yes,wlan,Selanik Caddesi 82,39.9161221,32.8582641,"https://www.google.com/maps/search/?api=1&query=39.9161221,32.8582641",node/9318426315
Qukie's Bake Shop,cafe,,,,qukiesbakeshop,,,,Kazakistan Caddesi,39.9196432,32.8238792,"https://www.google.com/maps/search/?api=1&query=39.9196432,32.8238792",node/13990311202
RABARBA,pub,,,,,,,,,39.9076155,32.8583748,"https://www.google.com/maps/search/?api=1&query=39.9076155,32.8583748",node/13227753390
Rakun,bar,,,,,,,,,39.8957327,32.7977305,"https://www.google.com/maps/search/?api=1&query=39.8957327,32.7977305",node/9805666817
Rasgele Balıkçı,restaurant,,,,,,,,Hollanda Caddesi,39.8676583,32.8576469,"https://www.google.com/maps/search/?api=1&query=39.8676583,32.8576469",node/4411428458
Ratu Burger House,restaurant,burger,,,,,,wlan,,39.8980957,32.8492417,"https://www.google.com/maps/search/?api=1&query=39.8980957,32.8492417",node/9572998617
REC Lounge,cafe,,,,,,,,70. Sokak,39.9222934,32.8266991,"https://www.google.com/maps/search/?api=1&query=39.9222934,32.8266991",node/13953976501
Republique,pub,,,,,Mo-Su 10:00-01:00,,,Bestekar Cd.,39.9058118,32.8603912,"https://www.google.com/maps/search/?api=1&query=39.9058118,32.8603912",node/11847745849
Respublika,cafe,coffee_shop;sandwich,,,,,,,,39.9049426,32.8651325,"https://www.google.com/maps/search/?api=1&query=39.9049426,32.8651325",node/14102571202
Retrox Pub,bar,,,,,,,,,39.9082477,32.8586449,"https://www.google.com/maps/search/?api=1&query=39.9082477,32.8586449",node/6821713268
Reynata Ev Yemekleri & Doğal İçecekler,restaurant,,,,,,,,Şehit Adem Yavuz Sokak 13/B,39.9199889,32.8517054,"https://www.google.com/maps/search/?api=1&query=39.9199889,32.8517054",node/9511231564
Riff,pub,,,,,,,,,39.9092082,32.8587540,"https://www.google.com/maps/search/?api=1&query=39.9092082,32.8587540",node/247191351
Ring Music Studio & Living Room,cafe,,,https://ringstudio.city/,,Mo-Su 09:00-22:00,,,Cinnah 10/A,39.8996451,32.8588092,"https://www.google.com/maps/search/?api=1&query=39.8996451,32.8588092",node/12918324553
Rispetto Coffee,cafe,,,,,,,,,39.9229970,32.8250350,"https://www.google.com/maps/search/?api=1&query=39.9229970,32.8250350",node/14007069263
Roamers Coffee,cafe,,,,,,,wlan,46. Sokak 53A,39.9230466,32.8235857,"https://www.google.com/maps/search/?api=1&query=39.9230466,32.8235857",node/13970244104
ROR,cafe,coffee_shop,,,,,,,,39.9059304,32.8623563,"https://www.google.com/maps/search/?api=1&query=39.9059304,32.8623563",node/13112065757
ROR caffee and roestery,cafe,,,,,Mo-Su 08:00-01:00,yes,wlan,,39.9220960,32.8254192,"https://www.google.com/maps/search/?api=1&query=39.9220960,32.8254192",node/5289332049
Route,bar,,,,,,,,,39.9170615,32.8576126,"https://www.google.com/maps/search/?api=1&query=39.9170615,32.8576126",node/6908297130
Route 66,bar,,,,,,,,,39.9277584,32.8266910,"https://www.google.com/maps/search/?api=1&query=39.9277584,32.8266910",node/6573076885
Rpublique,pub,,,,,,,,,39.8687652,32.8580743,"https://www.google.com/maps/search/?api=1&query=39.8687652,32.8580743",node/6308884636
Rubby Coffee & Cake,cafe,,,,,,,,,39.9206892,32.8293067,"https://www.google.com/maps/search/?api=1&query=39.9206892,32.8293067",node/13752792601
Ruhi Bey,bar,,,,,,,,Budak Sokağı 5,39.8971317,32.8658798,"https://www.google.com/maps/search/?api=1&query=39.8971317,32.8658798",node/4773895921
Rumeli,restaurant,,,,,,,,,39.9065431,32.8599652,"https://www.google.com/maps/search/?api=1&query=39.9065431,32.8599652",node/4617561927
Rüyam,cafe,,,,,,,,,39.9151753,32.8623872,"https://www.google.com/maps/search/?api=1&query=39.9151753,32.8623872",node/9230573701
Sadık Usta,cafe,,,,,,,,Bağlar Caddesi,39.9041038,32.8715425,"https://www.google.com/maps/search/?api=1&query=39.9041038,32.8715425",node/4541287728
Sahel Restoran,restaurant,,,,,,,,,39.9147964,32.8582836,"https://www.google.com/maps/search/?api=1&query=39.9147964,32.8582836",node/9392990027
Sahra,cafe,,,,,,,,,39.9008736,32.8039242,"https://www.google.com/maps/search/?api=1&query=39.9008736,32.8039242",node/6508691771
Sakal Pub,pub,,,,,,,,Kennedy Cad.,39.9091785,32.8584839,"https://www.google.com/maps/search/?api=1&query=39.9091785,32.8584839",node/4524023989
Saklıbahçe,restaurant,,,,,,,,,39.9148117,32.8044537,"https://www.google.com/maps/search/?api=1&query=39.9148117,32.8044537",node/60582754
Samsun Pide Evi,restaurant,,,,,,,,,39.9092841,32.8609497,"https://www.google.com/maps/search/?api=1&query=39.9092841,32.8609497",node/93996237
Sanat Edebiyat Kafe,cafe,,+90 542 149 80 62,,,24/7,,wlan,Selanik Caddesi 26,39.9204598,32.8559029,"https://www.google.com/maps/search/?api=1&query=39.9204598,32.8559029",node/10690451705
Sandal Meze & Balık,restaurant,fish;turkish,,,,,,,Şehit Mehmet Aras Sokak 62A,39.9195137,32.8300465,"https://www.google.com/maps/search/?api=1&query=39.9195137,32.8300465",node/13947829225
Saray,restaurant,,,,,,,,,39.9043394,32.8149015,"https://www.google.com/maps/search/?api=1&query=39.9043394,32.8149015",node/4652969771
Sardunya,cafe,,,,,Mo-Sa 11:30-23:00; Su 00:00-22:00,,,,39.9066245,32.8621259,"https://www.google.com/maps/search/?api=1&query=39.9066245,32.8621259",node/1706181788
Sarımsak Izgara Dürüm Restaurant,restaurant,,,,,,,,,39.8673894,32.8215622,"https://www.google.com/maps/search/?api=1&query=39.8673894,32.8215622",node/13946188235
Savoy Bistro,bar,,,,,,,,,39.9188540,32.8559446,"https://www.google.com/maps/search/?api=1&query=39.9188540,32.8559446",node/8153025272
Schnitzel,restaurant,,,,,,,,,39.9020000,32.8634237,"https://www.google.com/maps/search/?api=1&query=39.9020000,32.8634237",node/75324333
seda nakare,cafe,,,,,,,,,39.9167921,32.8556256,"https://www.google.com/maps/search/?api=1&query=39.9167921,32.8556256",node/11212859339
Sefa Kahvaltı Evi,cafe,,,,,,yes,wlan,,39.9219245,32.8438112,"https://www.google.com/maps/search/?api=1&query=39.9219245,32.8438112",node/9858068817
Selami Usta,restaurant,,,,,,,,,39.8681919,32.8568190,"https://www.google.com/maps/search/?api=1&query=39.8681919,32.8568190",node/4627366943
Sema Çay Salonu,cafe,,,,,,,,,39.8813019,32.8728896,"https://www.google.com/maps/search/?api=1&query=39.8813019,32.8728896",node/6411224356
Sensiz Olmaz Meyhane,bar,,,,,,,,,39.9008698,32.8571516,"https://www.google.com/maps/search/?api=1&query=39.9008698,32.8571516",node/12630068513
Seyir Çay Evi,cafe,,,,,,,,,39.9223059,32.8575164,"https://www.google.com/maps/search/?api=1&query=39.9223059,32.8575164",node/6363469220
Shades,pub,,,,,,,,,39.9011439,32.8577492,"https://www.google.com/maps/search/?api=1&query=39.9011439,32.8577492",node/13415264302
Shelby Coffee & Bakery,cafe,,,,,Mo-Su 09:00-23:00,,,,39.8971622,32.7992513,"https://www.google.com/maps/search/?api=1&query=39.8971622,32.7992513",node/12919075597
Sim Dondurma,ice_cream,,,,,,no,,Aşkabat Caddesi (7. Cadde),39.9212986,32.8265825,"https://www.google.com/maps/search/?api=1&query=39.9212986,32.8265825",node/11093270879
Sim pastanesi,fast_food,,,,,,,,,39.9216418,32.8264386,"https://www.google.com/maps/search/?api=1&query=39.9216418,32.8264386",node/4370460092
Simit Center,fast_food,,,,,,,,,39.9038754,32.8611345,"https://www.google.com/maps/search/?api=1&query=39.9038754,32.8611345",node/122537018
Simit Dünyası,cafe,,,,,,,,,39.9219481,32.8551041,"https://www.google.com/maps/search/?api=1&query=39.9219481,32.8551041",node/4621724494
Simit Kafe,cafe,,,,,,,,,39.9188870,32.8586590,"https://www.google.com/maps/search/?api=1&query=39.9188870,32.8586590",node/9320777719
Simit Sarayı,cafe,,,,,,,,,39.9193581,32.8550450,"https://www.google.com/maps/search/?api=1&query=39.9193581,32.8550450",node/6420536979
Simit Tuna Cafe,cafe,,,,,,,,,39.8725705,32.8601852,"https://www.google.com/maps/search/?api=1&query=39.8725705,32.8601852",node/4627366921
Simitcii,cafe,,,,,,,,,39.8680694,32.8569853,"https://www.google.com/maps/search/?api=1&query=39.8680694,32.8569853",node/4627366946
Siyez,restaurant,Ev_yemekleri;Izgara,,,,Mo-Sa 08:00-20:00,no,,,39.8916223,32.8253639,"https://www.google.com/maps/search/?api=1&query=39.8916223,32.8253639",node/4406510190
Skål Coffee & Dessert,cafe,,,,,,,,,39.9203046,32.8294778,"https://www.google.com/maps/search/?api=1&query=39.9203046,32.8294778",node/13752792901
Sloth Kafe,cafe,breakfast;cake;coffee_shop;sandwich;tea,,,slothcoffeeshop,Mo-Su 07:30-23:00,,wlan,Güvenlik Caddesi 36/A,39.9008902,32.8532454,"https://www.google.com/maps/search/?api=1&query=39.9008902,32.8532454",node/9994795817
Smit Cafe,restaurant,,,,,,,,,39.8932000,32.8470006,"https://www.google.com/maps/search/?api=1&query=39.8932000,32.8470006",node/9572998717
Sobe Döner,restaurant,regional,+90 312 473 40 90,,,,,,1324. Cadde 3A,39.8900110,32.8282564,"https://www.google.com/maps/search/?api=1&query=39.8900110,32.8282564",node/2952534836
Sofa Coffee House,cafe,,,,,,,,,39.8976149,32.8498269,"https://www.google.com/maps/search/?api=1&query=39.8976149,32.8498269",node/13564052401
Soli Kruvasan,cafe,,,,,,,,,39.8951797,32.8785934,"https://www.google.com/maps/search/?api=1&query=39.8951797,32.8785934",node/12919074425
Solway,cafe,coffee_shop,,,,,,,,39.8918825,32.7887067,"https://www.google.com/maps/search/?api=1&query=39.8918825,32.7887067",node/10214597190
Sosis Kafası,fast_food,,,,,,,,Azerbaycan Caddesi,39.9208771,32.8295018,"https://www.google.com/maps/search/?api=1&query=39.9208771,32.8295018",node/13986371601
Sosyal Bina,restaurant,,,,,,,,,39.8946455,32.7851486,"https://www.google.com/maps/search/?api=1&query=39.8946455,32.7851486",way/230532081
Souvla Kitchen,restaurant,,,,,,,,,39.8970811,32.8487815,"https://www.google.com/maps/search/?api=1&query=39.8970811,32.8487815",node/13526382402
Speco Coffee,cafe,,,,,,,,,39.9197917,32.8253380,"https://www.google.com/maps/search/?api=1&query=39.9197917,32.8253380",node/13752778903
Spice Curry House,restaurant,indian;turkish,,,,,,,,39.8944158,32.8772907,"https://www.google.com/maps/search/?api=1&query=39.8944158,32.8772907",node/4624295264
SR Döner,restaurant,,,,,,,,,39.9221881,32.8853200,"https://www.google.com/maps/search/?api=1&query=39.9221881,32.8853200",node/4330703289
Starbucks,cafe,coffee_shop,,https://www.starbucks.co.uk/store-locator/19246-200064/karanfil-sokak,,,,,,39.9179292,32.8546868,"https://www.google.com/maps/search/?api=1&query=39.9179292,32.8546868",node/1199436660
Stüdyo Pizza,restaurant,pizza,,,,,,,,39.9006466,32.8585352,"https://www.google.com/maps/search/?api=1&query=39.9006466,32.8585352",node/13415264303
Subway,fast_food,sandwich,,,,,,,,39.8719261,32.8609617,"https://www.google.com/maps/search/?api=1&query=39.8719261,32.8609617",node/4065224297
Sugar Kafe,cafe,,,,,,,,,39.8838868,32.8175809,"https://www.google.com/maps/search/?api=1&query=39.8838868,32.8175809",node/11999053649
Sun Brothers Pizza,fast_food,,,,,,,,,39.9195762,32.8303155,"https://www.google.com/maps/search/?api=1&query=39.9195762,32.8303155",node/13752797201
Sun's Fury Coffee,cafe,coffee_shop,,,,,,,,39.8918175,32.8546975,"https://www.google.com/maps/search/?api=1&query=39.8918175,32.8546975",node/12538897667
Sunshine,cafe,,,,,,,,,39.8898332,32.7906931,"https://www.google.com/maps/search/?api=1&query=39.8898332,32.7906931",node/501705626
Susam,cafe,,,,,,,,,39.8924891,32.7881532,"https://www.google.com/maps/search/?api=1&query=39.8924891,32.7881532",node/2677063829
Süha  Döner & Köfteci,restaurant,,,https://restaurantguru.com/Suha-Doner-andKebab-Ankara,,,,,,39.9130997,32.8594789,"https://www.google.com/maps/search/?api=1&query=39.9130997,32.8594789",node/11126851184
Sümela Lokantası,restaurant,turkish,,,,,,,,39.8983573,32.8487267,"https://www.google.com/maps/search/?api=1&query=39.8983573,32.8487267",node/13535537901
Süslü Cafe,cafe,,+90 312 223 11 93,,,,,,Kazakistan Caddesi,39.9210315,32.8231731,"https://www.google.com/maps/search/?api=1&query=39.9210315,32.8231731",node/13990309903
Sılam Ev Yemekleri,restaurant,turkish,,,,,,,,39.9289727,32.8779442,"https://www.google.com/maps/search/?api=1&query=39.9289727,32.8779442",node/1361597513
Sıpa coffee,cafe,coffee_shop,,,,Mo-Su 09:00-00:00,,wlan,Dikmen Caddesi 415,39.8672360,32.8227657,"https://www.google.com/maps/search/?api=1&query=39.8672360,32.8227657",node/13645746602
Tabu Cafe,cafe,,,,,,,,,39.9222640,32.8263946,"https://www.google.com/maps/search/?api=1&query=39.9222640,32.8263946",node/12556377168
Tadım Pizza,fast_food,pizza,+90 312 440 7676,,,Mo-Su 10:30-02:00,,,,39.8947605,32.8499683,"https://www.google.com/maps/search/?api=1&query=39.8947605,32.8499683",node/60582717
Tadım Pizza Farabi,restaurant,pizza,,,,,,,,39.8962640,32.8586403,"https://www.google.com/maps/search/?api=1&query=39.8962640,32.8586403",node/4619389483
Tahtakale Kahvecisi,cafe,,,,,,,,,39.9329546,32.8665571,"https://www.google.com/maps/search/?api=1&query=39.9329546,32.8665571",node/5327387722
Tantunici,restaurant,,,,,,,,,39.8755400,32.8611510,"https://www.google.com/maps/search/?api=1&query=39.8755400,32.8611510",node/600505327
Tarihi İnegöl Köftecisi Nevzat Usta,restaurant,kebab,,https://www.nevzatusta.com,,,,,,39.9232499,32.8254409,"https://www.google.com/maps/search/?api=1&query=39.9232499,32.8254409",node/1935956538
Tarihi Sariyer Börek & Simıt Cafe,cafe,,,,,,,,,39.9111024,32.8603294,"https://www.google.com/maps/search/?api=1&query=39.9111024,32.8603294",node/9392985024
Tarihi Çiçek Lokantası,restaurant,turkish,,,,,,,,39.8985081,32.8172104,"https://www.google.com/maps/search/?api=1&query=39.8985081,32.8172104",node/529107605
Tarihî Özen Lokantası,restaurant,,,,,,,,,39.9227044,32.8560281,"https://www.google.com/maps/search/?api=1&query=39.9227044,32.8560281",node/4119008893
Tattaze Sakarya,cafe,,,,,,,,,39.9219950,32.8564612,"https://www.google.com/maps/search/?api=1&query=39.9219950,32.8564612",node/4621720974
Tavacı Recep Usta Parkvadi,restaurant,,+90 312 443 21 21,https://www.recepustaparkvadi.com/,,,,,,39.8847065,32.8458959,"https://www.google.com/maps/search/?api=1&query=39.8847065,32.8458959",way/1087745638
Tavuk Dünyası,fast_food,chicken,,,,,,,,39.9194647,32.8270316,"https://www.google.com/maps/search/?api=1&query=39.9194647,32.8270316",node/13121381255
Taxi Bar,bar,,,,,,,,,39.9012307,32.8101290,"https://www.google.com/maps/search/?api=1&query=39.9012307,32.8101290",node/6477866458
Taze Türk Mutfağı,restaurant,turkish,,,,,,,Cinnah Caddesi 21,39.8967714,32.8581146,"https://www.google.com/maps/search/?api=1&query=39.8967714,32.8581146",node/12801795543
Taş fırın,restaurant,,,,,,,,,39.9184837,32.8560835,"https://www.google.com/maps/search/?api=1&query=39.9184837,32.8560835",node/10008229118
Tchibo,cafe,,,,,,,,,39.8759701,32.8702273,"https://www.google.com/maps/search/?api=1&query=39.8759701,32.8702273",node/4663712041
Telwe,bar,,,,,,,,İnkılap Sokak,39.9223925,32.8558534,"https://www.google.com/maps/search/?api=1&query=39.9223925,32.8558534",node/4524023589
Tenedos,pub,,,,,,,,,39.9001463,32.8572941,"https://www.google.com/maps/search/?api=1&query=39.9001463,32.8572941",node/12630068516
Tepebağ,restaurant,,,,,,yes,,,39.8851471,32.8572180,"https://www.google.com/maps/search/?api=1&query=39.8851471,32.8572180",node/143822701
Teras Bar,bar,,,,,,,,,39.9226874,32.8560802,"https://www.google.com/maps/search/?api=1&query=39.9226874,32.8560802",node/13030095142
Teras Cafe,cafe,,,,,,,,,39.8926245,32.7881490,"https://www.google.com/maps/search/?api=1&query=39.8926245,32.7881490",node/4623055082
Terrace Bar,bar,,,,,,no,,,39.9227795,32.8560304,"https://www.google.com/maps/search/?api=1&query=39.9227795,32.8560304",node/13020129302
Terradan,pub,,+90 542 100 83 72,,,,,,,39.9013475,32.8575301,"https://www.google.com/maps/search/?api=1&query=39.9013475,32.8575301",node/12630068514
Tetra N Roastery,cafe,,,https://tetranroastery.com/,,Mo-Su 09:00-23:00,,,,39.8955992,32.7968333,"https://www.google.com/maps/search/?api=1&query=39.8955992,32.7968333",node/12921944762
The Bigos,pub,,,,,11:00-01:00,,,,39.9250405,32.8251540,"https://www.google.com/maps/search/?api=1&query=39.9250405,32.8251540",node/3681907025
The House Cafe,cafe,,,,,,,,,39.8974874,32.8673682,"https://www.google.com/maps/search/?api=1&query=39.8974874,32.8673682",node/4619031442
The Italian Cut,restaurant,italian;italian_pizza,+90 312 222 00 77,,,,,,Azerbaycan Cd. (3. Cadde),39.9203063,32.8296720,"https://www.google.com/maps/search/?api=1&query=39.9203063,32.8296720",node/4452950189
The İrish Pub Tunus,pub,,,,,,,,,39.9071878,32.8586108,"https://www.google.com/maps/search/?api=1&query=39.9071878,32.8586108",node/13227753388
the stock,cafe,coffee_shop,,,,,yes,,,39.8990217,32.8638091,"https://www.google.com/maps/search/?api=1&query=39.8990217,32.8638091",node/12402616199
The York Pub and Bar,pub,,+90 533 619 08 17,https://www.instagram.com/pubtheyork,,Mo-Su 09:00-01:00,,,Azerbaycan Caddesi 91/B,39.9231474,32.8284993,"https://www.google.com/maps/search/?api=1&query=39.9231474,32.8284993",node/12625838424
Topkapı cafe,cafe,fish_and_chips,,,,,,,,39.9253138,32.8475407,"https://www.google.com/maps/search/?api=1&query=39.9253138,32.8475407",node/4070498917
Tosca Art Design,cafe,,,,,,,,Farabi Sokağı,39.8963759,32.8608809,"https://www.google.com/maps/search/?api=1&query=39.8963759,32.8608809",node/13991871701
Tost Makinem,fast_food,sandwich,,,,Mo-Sa 08:00-20:00,,,Esat Caddesi 14,39.9132534,32.8566830,"https://www.google.com/maps/search/?api=1&query=39.9132534,32.8566830",node/8969329817
Trilye Restoran,restaurant,seafood,,,,,,,Kuleli Sokak,39.8940454,32.8718349,"https://www.google.com/maps/search/?api=1&query=39.8940454,32.8718349",node/112585692
Tual pastanesi,cafe,cake,,,,07:00-23:00,,,Cevizlidere Caddesi 130,39.8681329,32.8214180,"https://www.google.com/maps/search/?api=1&query=39.8681329,32.8214180",node/5321292778
Tutti's,bar,,,,,,,,,39.9068455,32.8601503,"https://www.google.com/maps/search/?api=1&query=39.9068455,32.8601503",node/4617561924
Twister,pub,,,,,,,,,39.9069669,32.8598311,"https://www.google.com/maps/search/?api=1&query=39.9069669,32.8598311",node/4617561921
Tünel Pub,pub,,,,,,,,,39.8976268,32.8659842,"https://www.google.com/maps/search/?api=1&query=39.8976268,32.8659842",node/4619031446
Uludağ Döner,restaurant,kebab,,,,,,,,39.8953734,32.8664112,"https://www.google.com/maps/search/?api=1&query=39.8953734,32.8664112",node/75343319
Uludağ Kebapçısı,restaurant,turkish,,,,,,,,39.9344942,32.8572277,"https://www.google.com/maps/search/?api=1&query=39.9344942,32.8572277",node/824237315
Uptown,bar,,,,,,,,,39.8941238,32.7864780,"https://www.google.com/maps/search/?api=1&query=39.8941238,32.7864780",node/664127092
Urfalı Hacı Mehmet,restaurant,,,,,,,,,39.8744869,32.8631611,"https://www.google.com/maps/search/?api=1&query=39.8744869,32.8631611",node/4065224300
Urfalı Kebap,restaurant,,,,,,,,,39.9236659,32.8563061,"https://www.google.com/maps/search/?api=1&query=39.9236659,32.8563061",node/4630875931
